id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
52683,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,4,4,4,4,0,0,0,4,7,0,Generic,1
6233,1.088975,tcp,-,FIN,10,8,564,354,15.611011,254,252,3731.949951,2277.371094,2,1,114.903333,145.706719,8397.867859,189.148078,255,3716120615,2874014986,255,0.164785,0.069023,0.095762,56,44,0,0,3,1,1,1,1,3,0,0,0,2,3,0,Reconnaissance,1
4450,3e-06,iso-ip,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,4,0,0,0,19,3,0,Analysis,1
18206,7e-06,udp,dns,INT,2,0,114,0,142857.1409,254,0,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,50,2,43,43,18,50,0,0,0,44,50,0,Generic,1
3293,9e-06,gre,-,INT,2,0,156,0,111111.1072,254,0,69333328.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,78,0,0,0,1,2,1,1,1,63,0,0,0,1,1,0,DoS,1
5337,8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,4,3,3,7,0,0,0,6,7,0,DoS,1
63065,1.1e-05,udp,-,INT,2,0,176,0,90909.0902,254,0,64000000.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,88,0,0,0,4,2,1,1,1,1,0,0,0,1,3,0,Shellcode,1
5016,8e-06,uti,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,11,5,0,DoS,1
26373,0.099788,tcp,-,FIN,16,18,1540,1644,330.701077,31,29,115765.4219,124503.9453,4,4,6.631267,5.834706,517.060472,18.89483,255,1059703059,1091801503,255,0.000722,0.000588,0.000134,96,91,0,0,13,0,9,3,1,4,0,0,0,5,11,0,Normal,0
46159,2.537878,tcp,http,FIN,14,6,1482,268,7.486569,254,252,4340.634277,706.101685,6,1,191.361457,500.631813,18857.68484,948.782125,255,654018990,4242551429,255,0.053245,0.034708,0.018537,106,45,0,0,3,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
53778,1.1e-05,sep,-,INT,2,0,200,0,90909.0902,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,22,2,5,4,4,4,0,0,0,7,17,0,Analysis,1
9004,1e-05,udp,-,INT,2,0,808,0,100000.0025,254,0,323200000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,404,0,0,0,7,2,1,1,1,1,0,0,0,2,1,0,Worms,1
483,3e-06,chaos,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,Backdoor,1
50456,7e-06,ipip,-,INT,2,0,200,0,90909.0902,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,8,2,4,4,4,4,0,0,0,4,9,0,Backdoor,1
